prob_density,r,z,vr,vz
0.0,0.0,1.79075085e-06,0.0,0.4784192249
11.01368,2.3113400000000004e-10,1.7907498695e-06,-0.0029024259,0.4728107545
22.200996,4.62247e-10,1.7907466555000002e-06,-0.0043096998,0.4764468043
33.333677,6.933095000000001e-10,1.7907408535e-06,-0.0052230107,0.4772531947
44.464514,9.242920000000001e-10,1.7907324365000002e-06,-0.0061019515,0.4777205196
55.549402,1.1551665000000002e-09,1.7907214565e-06,-0.0068857278,0.4778870978
66.597295,1.385907e-09,1.7907079385e-06,-0.0077533098,0.4779386054
77.595426,1.6164860000000002e-09,1.7906919005e-06,-0.0086062468,0.477916621
88.537032,1.8468775e-09,1.790673353e-06,-0.0094813449,0.4778348202
99.413313,2.0770540000000004e-09,1.7906523070000002e-06,-0.0103592117,0.4777055918
110.217733,2.30699e-09,1.7906287725000002e-06,-0.0112505406,0.4775405195
120.941132,2.5366585e-09,1.7906027575000002e-06,-0.0121514805,0.47733885
131.574881,2.7660345e-09,1.7905742700000001e-06,-0.0130629826,0.4771005847
142.112051,2.9950915000000003e-09,1.7905433200000003e-06,-0.0139870486,0.4768313912
152.5442,3.2238040000000004e-09,1.7905099165e-06,-0.0149248768,0.4765309342
162.862359,3.4521465000000005e-09,1.7904740680000002e-06,-0.0158767954,0.4761969473
173.059122,3.6800940000000003e-09,1.7904357850000002e-06,-0.0168432967,0.4758311747
183.127117,3.9076220000000004e-09,1.7903950785000001e-06,-0.0178261877,0.4754351833
193.059863,4.1347050000000006e-09,1.7903519600000003e-06,-0.0188277299,0.4750134786
202.84816,4.36132e-09,1.7903064385000003e-06,-0.0198482256,0.4745604797
212.481353,4.587442e-09,1.790258525e-06,-0.0208888312,0.4740719239
221.951219,4.813047000000001e-09,1.7902082310000001e-06,-0.0219509645,0.4735466461
231.250357,5.0381115e-09,1.7901555695e-06,-0.0230359559,0.4729851202
240.372646,5.2626135000000006e-09,1.7901005540000001e-06,-0.0241436386,0.4723898217
249.315642,5.4865295e-09,1.790043199e-06,-0.0252758392,0.4717703272
258.071444,5.7098370000000005e-09,1.7899835170000003e-06,-0.0264342162,0.4711264481
266.62702,5.932513500000001e-09,1.7899215185e-06,-0.0276197936,0.4704481134
274.971647,6.154536e-09,1.7898572165000002e-06,-0.0288345549,0.4697296526
283.09633,6.375884000000001e-09,1.7897906235000001e-06,-0.0300804255,0.4689687749
290.993218,6.596535500000001e-09,1.7897217540000001e-06,-0.0313588864,0.4681647726
298.656123,6.8164700000000006e-09,1.7896506230000001e-06,-0.0326707881,0.4673191223
306.081075,7.035667500000001e-09,1.789577247e-06,-0.0340150817,0.4664361742
313.268647,7.254106000000001e-09,1.7895016425e-06,-0.0353927699,0.465529207
320.208316,7.4717655e-09,1.7894238230000003e-06,-0.0368053123,0.4645933079
326.884826,7.688625e-09,1.7893438010000003e-06,-0.0382551278,0.4636167409
333.28724,7.904665000000001e-09,1.7892615900000002e-06,-0.0397447062,0.4625943386
339.407511,8.119866000000001e-09,1.7891772045000002e-06,-0.0412758367,0.4615243769
345.239284,8.334209500000001e-09,1.7890906610000003e-06,-0.0428494307,0.4604074898
350.779559,8.547677500000001e-09,1.7890019755000002e-06,-0.0444650397,0.4592475217
356.027432,8.76025e-09,1.788911167e-06,-0.0461187899,0.4580527463
360.997344,8.971908000000001e-09,1.788818254e-06,-0.0478082541,0.4568469283
365.675718,9.182633e-09,1.7887232475000002e-06,-0.0495359849,0.4556211785
370.037422,9.392406000000001e-09,1.7886261575000002e-06,-0.0513078355,0.4543542112
374.066573,9.6012105e-09,1.788526995e-06,-0.0531284948,0.45303588
377.751874,9.80903e-09,1.788425772e-06,-0.0550013314,0.4516611739
381.082462,1.0015847000000001e-08,1.788322502e-06,-0.0569284164,0.4502276919
384.047088,1.0221642e-08,1.7882172010000001e-06,-0.0589104058,0.4487354486
386.642312,1.0426397000000001e-08,1.788109888e-06,-0.0609467425,0.447186928
388.87064,1.0630093000000001e-08,1.7880005810000002e-06,-0.0630347054,0.4455885534
390.74228,1.0832714e-08,1.7878893010000001e-06,-0.0651668751,0.4439511232
392.29126,1.1034243000000001e-08,1.7877760670000002e-06,-0.0673332591,0.4423071921
393.504313,1.1234665000000002e-08,1.7876608910000002e-06,-0.0695366771,0.4406493229
394.344758,1.1433965000000002e-08,1.7875437795e-06,-0.0717876467,0.4389495309
394.793195,1.1632129500000001e-08,1.7874247415e-06,-0.0740924759,0.4371949296
394.835356,1.1829144000000002e-08,1.7873037880000002e-06,-0.0764542364,0.4353808235
394.454426,1.2024988000000001e-08,1.7871809360000001e-06,-0.0788732322,0.433506509
393.650075,1.2219641e-08,1.7870562045000001e-06,-0.0813474083,0.4315751616
392.433055,1.24130845e-08,1.786929614e-06,-0.0838709084,0.4295951869
390.826488,1.26053e-08,1.7868011870000002e-06,-0.0864312738,0.4275808173
388.890512,1.2796271000000001e-08,1.7866709440000002e-06,-0.0890086291,0.4255750387
386.59996,1.2985982000000002e-08,1.7865388935000003e-06,-0.0916097772,0.4235630627
383.897395,1.31744185e-08,1.786405038e-06,-0.0942539117,0.4215062571
380.756921,1.3361567500000002e-08,1.7862693835000001e-06,-0.0969508059,0.4193873568
377.167039,1.3547417000000001e-08,1.7861319365000001e-06,-0.0997048568,0.4171993825
373.121043,1.3731955e-08,1.7859927075000002e-06,-0.1025167296,0.4149400567
368.610682,1.3915163500000002e-08,1.7858517130000002e-06,-0.1053833011,0.4126113308
363.646928,1.4097024500000002e-08,1.7857089740000003e-06,-0.1082983321,0.4102195369
358.254787,1.4277522500000002e-08,1.7855645120000001e-06,-0.1112503308,0.4077751307
352.485053,1.4456642000000002e-08,1.7854183505000001e-06,-0.114218169,0.4053013834
346.401075,1.4634369500000001e-08,1.7852705095e-06,-0.1171778893,0.4028344423
339.944716,1.4810686500000002e-08,1.7851209990000001e-06,-0.1201437138,0.4003473153
333.073428,1.49855765e-08,1.78496983e-06,-0.1231307694,0.3978134069
325.790201,1.5159023500000003e-08,1.7848170150000003e-06,-0.1261389873,0.395228924
318.116235,1.5331015e-08,1.7846625685000002e-06,-0.1291610251,0.3925968065
310.109897,1.5501539500000003e-08,1.7845065080000001e-06,-0.13217469,0.3899422243
301.777741,1.5670580000000004e-08,1.784348847e-06,-0.1351719992,0.3872723268
293.07592,1.5838122500000004e-08,1.7841895935e-06,-0.1381681125,0.3845617078
283.992123,1.6004152e-08,1.7840287595000002e-06,-0.1411675633,0.381798815
274.547595,1.6168655000000003e-08,1.7838663595000002e-06,-0.1441643426,0.3789856439
264.779213,1.6331621000000002e-08,1.7837024110000001e-06,-0.1471460276,0.3761304909
254.733788,1.6493039500000002e-08,1.7835369355000002e-06,-0.1500934937,0.3732450244
244.498073,1.6652894000000003e-08,1.7833699635e-06,-0.1529705192,0.3703639452
234.097749,1.6811170000000002e-08,1.7832015135000002e-06,-0.1557644443,0.367496178
223.489922,1.6967854500000002e-08,1.7830315940000002e-06,-0.1584911962,0.3646169407
212.678934,1.7122938500000002e-08,1.7828602150000001e-06,-0.1611535905,0.3617163319
201.70135,1.7276414e-08,1.7826873900000003e-06,-0.1637418892,0.3587980235
190.605498,1.7428277500000003e-08,1.7825131345000002e-06,-0.166241624,0.3558700689
179.445624,1.75785225e-08,1.782337472e-06,-0.1686336917,0.3529435342
168.288416,1.77271405e-08,1.7821604315000002e-06,-0.1708948845,0.3500330713
157.209936,1.7874126000000002e-08,1.781982043e-06,-0.1729995145,0.347156818
146.248106,1.8019476e-08,1.7818023290000003e-06,-0.1749354453,0.3443193807
135.444838,1.81631905e-08,1.7816213115000003e-06,-0.1766925135,0.3415235518
124.854504,1.8305272500000003e-08,1.7814390150000002e-06,-0.1782565425,0.3387762449
114.532364,1.8445727e-08,1.7812554625e-06,-0.1796135773,0.3360853843
104.519638,1.8584562500000002e-08,1.7810706805000003e-06,-0.1807555853,0.3334531029
94.880012,1.87217905e-08,1.7808847005000001e-06,-0.1816711333,0.3308849007
85.692639,1.88574255e-08,1.7806975645000002e-06,-0.1823415382,0.3283935329
77.00947,1.8991484e-08,1.78050931e-06,-0.1827547911,0.3259875506
68.85698,1.9123993500000003e-08,1.7803199625e-06,-0.1829103248,0.3236671309
61.245251,1.9254983e-08,1.7801295495000002e-06,-0.1828160517,0.3214256233
